generation,best_fitness,mean_fitness,median_fitness,diversity,island,migration_event
11,51.27598825406767,107.17257643075162,108.85758410847782,0.9606656505166568,2,False
12,49.716832251498204,101.62966506739475,95.83404818867628,0.8864236095007995,2,False
13,49.716832251498204,87.8711113435745,87.61241742434567,0.8187281952556491,2,False
14,49.716832251498204,87.39603375996919,86.51092988218264,0.7974749295689844,2,False
15,49.716832251498204,88.78255516682927,87.40474473858873,0.7707374334713719,2,False
16,49.716832251498204,90.44945191308621,88.10760289219579,0.7320475489922935,2,False
17,42.66236834854383,87.71988695242709,88.22207263661669,0.7004328066873742,2,False
18,40.09248826978747,81.13092554781166,77.77099186384817,0.590800308005874,2,False
19,40.09248826978747,80.63632544262109,79.93591279747292,0.5354094135443205,2,False
20,40.09248826978747,76.7449422168561,74.68911167820362,0.5529664862173164,2,False
21,34.74831767228265,76.6114546836283,75.50899500061709,0.44874628866560523,2,False
22,31.319588199734014,67.32354233190135,66.45816624408761,0.3863413144775131,2,False
23,25.71947228322091,62.79518979155596,62.120547754358284,0.3069771604487852,2,False
24,24.99732419966459,56.00410653321004,57.17681168174071,0.2613054198718484,2,False
25,24.99732419966459,49.4579397161129,48.824419872902006,0.1995637792295108,2,False
26,24.99732419966459,50.38533078685417,48.62360167864932,0.18435765181391145,2,False
27,24.452114189595193,51.530443715606744,48.429664156223474,0.19731528828752182,2,False
28,19.382646740388665,47.109613801538366,45.827397920690814,0.1928232766450741,2,False
29,19.382646740388665,44.97092318702445,42.990492332964294,0.19906040763803728,2,False
30,19.382646740388665,43.041133762561664,40.89511953135077,0.20395397844867613,2,False
31,19.374090421116335,43.5075508780056,42.000182223999005,0.19546855290562476,2,False
32,18.852829188820536,41.83635047203348,40.791717846267154,0.18864569674289558,2,False
33,18.461309061582668,39.133469652814874,38.35769819644098,0.16620654677803165,2,False
34,17.510456325696296,40.920255184084205,38.78265539551414,0.16398691004200563,2,False
35,17.510456325696296,38.71845949400468,37.48814379136918,0.14821190831280273,2,False
36,16.47476761963732,38.518152715393896,36.641529658441904,0.15176547238817986,2,False
37,15.13621749271205,37.57527369208436,37.582827433451286,0.14521995583512884,2,False
38,14.456167206306205,33.38318515079247,31.46855786785607,0.12491658308397954,2,False
39,14.456167206306205,34.397034180671035,32.57668827395671,0.12671851996925163,2,False
40,14.456167206306205,34.94933748353812,33.9138594707409,0.12903489688762784,2,False
0,107.39916904159237,183.8454851815172,180.62032830423277,2.847231280727847,3,False
1,87.51069571582622,166.5819057485546,167.68032602561436,2.674632569100169,3,False
2,87.51069571582622,155.4184057310368,154.58202590048893,2.416522250776199,3,False
3,67.27496402387591,144.10784334074617,143.9943927477102,2.152114986759227,3,False
4,67.27496402387591,131.40383682216103,135.31134046829303,1.8481583919365476,3,False
5,62.371909306948815,118.87971265901669,123.73626000298246,1.532869069952507,3,False
6,62.371909306948815,111.7272205930781,116.90521203076125,1.2894842766614383,3,False
7,62.371909306948815,106.39253322465099,103.48106998511089,1.215897548184246,3,False
8,59.12313596396652,106.50202407304033,107.97486610347465,1.163150508075361,3,False
9,51.71791090403432,102.02328605070862,103.97848219558615,1.0583509388227426,3,False
10,51.71791090403432,101.84494340686793,102.2734595463269,0.9607694282091123,3,False
11,51.71791090403432,98.85976743683773,95.80057332297412,0.7957915974546927,3,False
12,46.83268545239362,87.1835020971733,83.46666488086868,0.7359697687270474,3,False
13,33.912355685794424,80.66148014879828,80.30865861785094,0.769962231540416,3,False
14,33.912355685794424,80.95309845112408,80.6244463609101,0.7316451389163028,3,False
15,33.912355685794424,73.7673112968679,72.82539508376912,0.5968142380877919,3,False
16,33.43371912182626,72.75220541004613,72.73992197241961,0.4964131026535865,3,False
17,33.43371912182626,75.08232954938444,72.8026086351857,0.5184373155734489,3,False
18,31.887914767080062,67.91474674972484,69.69580113830774,0.42231363880041284,3,False
19,24.27707719873942,63.62374055900863,61.32177915048318,0.43514167062035536,3,False
20,24.27707719873942,59.31539112638112,57.05117249031085,0.36830747100823635,3,False
21,24.27707719873942,57.32111917217445,53.95038427641925,0.35952756794309193,3,False
22,24.27707719873942,53.06825702668816,54.46685877131529,0.30295579785735277,3,False
23,24.27707719873942,52.550184119762825,48.50982323336503,0.27776209083856535,3,False
24,24.201309617890743,53.00456544475159,51.655627914230465,0.3065700211276239,3,False
25,20.00704510929603,47.858091728130596,48.42886313158023,0.2752431468913705,3,False
26,19.848096907442013,48.57557388957018,46.74071740701203,0.2664855059360495,3,False
27,19.509368779808682,46.30221768947698,46.86670048567042,0.24306346885095773,3,False
28,17.71422515077981,44.573995999008915,41.75991648806831,0.24731757321004624,3,False
29,17.344348194614085,42.70186025412425,41.30680286909791,0.24239685696457292,3,False
30,16.955191608017287,44.32702727503102,41.989393743688794,0.22882855530542806,3,False
31,13.892792574129231,38.45053937597324,38.37201215340717,0.19064699910739555,3,False
32,13.601676893630668,35.852375870826094,33.904285933172744,0.1910287083705423,3,False
33,13.601676893630668,35.81553420544831,33.531386804910724,0.1759208465931445,3,False
34,13.601676893630668,37.25982834212948,34.7112605548785,0.19375250274592234,3,False
35,13.601676893630668,37.579111527643825,35.290645807476025,0.211649972579742,3,False
36,13.379842521932503,34.282423707787906,32.58147759115784,0.21181189139839196,3,False
37,11.57527411736858,38.137395280461945,37.89628704024619,0.23022278679842806,3,False
38,11.57527411736858,37.4373268625868,38.24770226378537,0.23000642281522796,3,False
39,11.57527411736858,37.44811338334126,36.30309936136827,0.22511848858889097,3,False
40,11.171165087599846,38.70572589710546,36.24859499457857,0.2288545972922055,3,False
