generation,island,best_fitness,mean_fitness,diversity,migration_event
14,2,49.194264265442165,85.0851751977864,0.5155954357772755,False
14,3,42.19666724629772,87.00188301226522,0.8922605513311904,False
15,0,41.352355475188055,82.71323346021931,0.6770003118499497,False
15,1,29.91028489172224,67.91920404007067,0.45818397260716576,False
15,2,46.76685176728561,84.67213107284819,0.48589285221147954,False
15,3,38.45966129820103,87.1881584062562,0.7239162092362,False
16,0,41.352355475188055,84.29163461887822,0.6537764753762789,False
16,1,27.800923980839784,53.96775163341213,0.2752114897918989,False
16,2,46.76685176728561,88.9337119378508,0.4438252474184849,False
16,3,36.474870393778986,81.3990309333513,0.64768261084951,False
17,0,26.37680221228176,74.67889535326181,0.6970814014944637,False
17,1,23.829434347200177,46.345000285809334,0.18411699231270784,False
17,2,37.7396900392821,79.44522487271796,0.3886879089422489,False
17,3,35.434688533426794,79.15646972458086,0.5792433084016008,False
18,0,26.37680221228176,87.01693493361046,0.8226007952321421,False
18,1,22.95005594320645,46.0591628819445,0.15199663344989045,False
18,2,37.7396900392821,77.71928395485384,0.37540933761084677,False
18,3,35.434688533426794,71.01035113794006,0.46546236698775223,False
19,0,26.37680221228176,89.45978223838462,0.9084655159975122,False
19,1,22.95005594320645,47.72240057507561,0.162850929088554,False
19,2,35.49810132027916,67.44309184420914,0.36700466545940696,False
19,3,31.78296687936684,66.46513913900225,0.33704100416196003,False
20,0,26.37680221228176,85.57594947618709,0.8382592101670264,True
20,1,22.242966294279398,41.82095553084034,0.15674862122384908,True
20,2,22.242966294279398,64.97237165215166,0.5418102629587775,True
20,3,27.288166253662283,60.3108297095192,0.3948169351276254,True
21,0,26.37680221228176,89.27661407846922,0.859023511105341,False
21,1,22.242966294279398,44.220840171069746,0.19921395203592246,False
21,2,22.242966294279398,71.19359806071577,0.8464657351014802,False
21,3,25.28380506110493,62.20269392596019,0.467177810233225,False
22,0,26.37680221228176,84.29868695395893,0.8181300215599766,False
22,1,22.242966294279398,42.4566849532771,0.19562764403971725,False
22,2,22.242966294279398,90.4626682726746,1.1605903808288083,False
22,3,22.53033284684446,60.73160636475963,0.3100097564986282,False
23,0,26.37680221228176,83.79776739127509,0.8085352185852643,False
23,1,22.242966294279398,43.88760966191901,0.16774775747330634,False
23,2,22.242966294279398,90.31753885818867,1.1546392538008838,False
23,3,22.53033284684446,54.54504005645126,0.2627149420649045,False
24,0,26.37680221228176,81.50545173798952,0.7915831573685415,False
24,1,19.98923831432387,37.02036040765876,0.12138582511556355,False
24,2,22.242966294279398,93.4522738999373,1.1180225390519563,False
24,3,22.53033284684446,51.15119166715623,0.23248524294463815,False
25,0,25.85718421306491,85.24078780745222,0.8133686197589842,False
25,1,19.98923831432387,37.24461768131973,0.10787449223988824,False
25,2,22.114552446128243,88.30408777097456,1.1244409140252765,False
25,3,22.53033284684446,47.80101162912368,0.2198776859929595,False
26,0,25.85718421306491,90.56075212831468,0.8592182004247271,False
26,1,19.98923831432387,37.13749799422173,0.11343748458532907,False
